Date,Adj Close,Volume
8/29/2011,11240.25977,9421400
9/5/2011,10992.12988,7849500
9/12/2011,11509.08984,11777200
9/19/2011,10771.48047,10658100
9/26/2011,10913.37988,10152700
10/3/2011,11103.12012,11148600
10/10/2011,11644.49023,7433200
10/17/2011,11808.79004,9414500
10/24/2011,12231.11035,9223100
10/31/2011,11983.24023,8425400
11/7/2011,12153.67969,7470300
11/14/2011,11796.16016,6514100
11/21/2011,11231.65039,5592300
11/28/2011,12019.41992,9425000
12/5/2011,12184.25977,7883200
12/12/2011,11866.38965,10086500
12/19/2011,12294,6956300
12/26/2011,12217.55957,2850700
1/2/2012,12359.91992,5872500
1/9/2012,12422.05957,6833900
1/16/2012,12720.48047,7059800
1/23/2012,12660.45996,7059600
1/30/2012,12862.23047,6992000
2/6/2012,12801.23047,6431400
2/13/2012,12949.87012,7289500
2/20/2012,12982.9502,4989000
2/27/2012,12977.57031,6740500
3/5/2012,12922.01953,6328400
3/12/2012,13232.62012,9810100
3/19/2012,13080.73047,6556300
3/26/2012,13212.04004,7003400
4/2/2012,13060.13965,4673000
4/9/2012,12849.58984,6508500
4/16/2012,13029.25977,7017200
4/23/2012,13228.30957,6271600
4/30/2012,13038.26953,5679200
5/7/2012,12820.59961,6961800
5/14/2012,12369.37988,8305300
5/21/2012,12454.83008,6477600
5/28/2012,12118.57031,5984200
6/4/2012,12554.2002,6184800
6/11/2012,12767.16992,7711300
6/18/2012,12640.78027,7123100
6/25/2012,12880.08984,6588100
7/2/2012,12772.46973,3680500
7/9/2012,12777.08984,6071700
7/16/2012,12822.57031,6934400
7/23/2012,13075.66016,6917400
7/30/2012,13096.16992,5756500
8/6/2012,13207.9502,4354100
8/13/2012,13275.2002,4822400
8/20/2012,13157.96973,5127000
8/27/2012,13090.83984,4789900
9/3/2012,13306.63965,4673300
9/10/2012,13593.37012,6771800
9/17/2012,13579.46973,9124700
9/24/2012,13437.12988,6442900
10/1/2012,13610.15039,5226300
10/8/2012,13328.84961,4764200
10/15/2012,13343.50977,7313900
10/22/2012,13107.20996,6040000
10/29/2012,13093.16016,4163300
11/5/2012,12815.38965,6353300
11/12/2012,12588.30957,6930000
11/19/2012,13009.53027,4294800
11/26/2012,13025.58008,6479500
12/3/2012,13155.12988,6404000
12/10/2012,13135.00977,5893600
12/17/2012,13190.83984,9779900
12/24/2012,12938.11035,3132600
12/31/2012,13435.20996,5443900
1/7/2013,13488.42969,6184800
1/14/2013,13649.7002,7840800
1/21/2013,13895.98047,5038700
1/28/2013,14009.79004,6100200
2/4/2013,13992.96973,6107600
2/11/2013,13981.75977,6332600
2/18/2013,14000.57031,5462100
2/25/2013,14089.66016,6948500
3/4/2013,14397.07031,5721300
3/11/2013,14514.11035,8060600
3/18/2013,14512.03027,5749500
3/25/2013,14578.54004,4672600
4/1/2013,14565.25,5530000
4/8/2013,14865.05957,6199200
4/15/2013,14547.50977,8212600
4/22/2013,14712.54981,6807400
4/29/2013,14973.95996,5690000
5/6/2013,15118.49023,5436900
5/13/2013,15354.40039,6637400
5/20/2013,15303.09961,6657100
5/27/2013,15115.57031,5746800
6/3/2013,15248.12012,7014500
6/10/2013,15070.17969,5135500
6/17/2013,14799.40039,9425500
6/24/2013,14909.59961,7714900
7/1/2013,15135.83984,3927400
7/8/2013,15464.29981,6062300
7/15/2013,15543.74023,6971700
7/22/2013,15558.83008,5770800
7/29/2013,15658.36035,5657900
8/5/2013,15425.50977,4251800
8/12/2013,15081.46973,5338400
8/19/2013,15010.50977,5976900
8/26/2013,14810.30957,5550700
9/2/2013,14922.5,4741000
9/9/2013,15376.05957,4866000
9/16/2013,15451.08984,8515600
9/23/2013,15258.24023,4369500
9/30/2013,15072.58008,4572800
10/7/2013,15237.11035,4777700
10/14/2013,15399.65039,5308600
10/21/2013,15570.28027,4904600
10/28/2013,15615.54981,4744100
11/4/2013,15761.78027,4773500
11/11/2013,15961.7002,4808900
11/18/2013,16064.76953,4237800
11/25/2013,16086.41016,3364100
12/2/2013,16020.2002,5340200
12/9/2013,15755.36035,4674500
12/16/2013,16221.13965,7127500
12/23/2013,16478.41016,2099600
12/30/2013,16469.99023,2867100
1/6/2014,16437.05078,4430900
1/13/2014,16458.56055,5837600
1/20/2014,15879.11035,4410300
1/27/2014,15698.84961,5554300
2/3/2014,15794.08008,5930500
2/10/2014,16154.38965,4408800
2/17/2014,16103.29981,3761100
2/24/2014,16321.70996,6577800
3/3/2014,16452.7207,4194500
3/10/2014,16065.66992,3960800
3/17/2014,16302.76953,7033800
3/24/2014,16323.05957,4725200
3/31/2014,16412.71094,4522100
4/7/2014,16026.75,5387000
4/14/2014,16408.53906,4187100
4/21/2014,16361.45996,4121300
4/28/2014,16512.89063,4242600
5/5/2014,16583.33984,3891300
5/12/2014,16491.31055,4408000
5/19/2014,16606.26953,3546500
5/26/2014,16717.16992,3040400
6/2/2014,16924.2793,3419500
6/9/2014,16775.74023,3613300
6/16/2014,16947.08008,5427200
6/23/2014,16851.83984,4191200
6/30/2014,17068.25977,2890500
7/7/2014,16943.81055,3323600
7/14/2014,17100.17969,4855700
7/21/2014,16960.57031,3526700
7/28/2014,16493.36914,4064500
8/4/2014,16553.92969,3943400
8/11/2014,16662.91016,3659000
8/18/2014,17001.2207,3343400
8/25/2014,17098.44922,3031600
9/1/2014,17137.35938,2723400
9/8/2014,16987.50977,3579200
9/15/2014,17279.74023,6676700
9/22/2014,17113.15039,4001100
9/29/2014,17009.68945,4401800
10/6/2014,16544.09961,10713800
10/13/2014,16380.41016,6482000
10/20/2014,16805.41016,4813000
10/27/2014,17390.51953,4346900
11/3/2014,17573.92969,3909800
11/10/2014,17634.74023,3536800
11/17/2014,17810.06055,4502100
11/24/2014,17828.24023,3216200
12/1/2014,17958.78906,4231400
12/8/2014,17280.83008,5162300
12/15/2014,17804.80078,8165400
12/22/2014,18053.71094,2767900
12/29/2014,17832.99023,2604700
1/5/2015,17737.36914,5173400
1/12/2015,17511.57031,5360400
1/19/2015,17672.59961,4242200
1/26/2015,17164.94922,6193900
2/2/2015,17824.28906,4970100
2/9/2015,18019.34961,4638000
2/16/2015,18140.43945,3643700
2/23/2015,18132.69922,4260700
3/2/2015,17856.7793,4437100
3/9/2015,17749.31055,5335600
3/16/2015,18127.65039,7569600
3/23/2015,17712.66016,5127400
3/30/2015,17763.24023,4142400
4/6/2015,18057.65039,4529700
4/13/2015,17826.30078,5449100
4/20/2015,18080.14063,5089700
4/27/2015,18024.06055,5690000
5/4/2015,18191.10938,4576600
5/11/2015,18272.56055,4603000
5/18/2015,18232.01953,4096300
5/25/2015,18010.67969,4131600
6/1/2015,17849.46094,4189200
6/8/2015,17898.83984,4470800
6/15/2015,18015.94922,6146000
6/22/2015,17946.67969,4958400
6/29/2015,17730.10938,4128900
7/6/2015,17760.41016,4521200
7/13/2015,18086.44922,4351200
7/20/2015,17568.5293,4796700
7/27/2015,17689.85938,4972200
8/3/2015,17373.38086,4673600
8/10/2015,17477.40039,4865100
8/17/2015,16459.75,6117000
8/24/2015,16643.00977,10193300
8/31/2015,16102.37988,6833100
9/7/2015,16433.08984,4699800
9/14/2015,16384.58008,7566200
9/21/2015,16314.66992,5487800
9/28/2015,16472.36914,6551200
10/5/2015,17084.49023,5678200
10/12/2015,17215.9707,5608500
10/19/2015,17646.69922,6427100
10/26/2015,17663.53906,5858000
11/2/2015,17910.33008,4993800
11/9/2015,17245.24023,5733800
11/16/2015,17823.81055,6793600
11/23/2015,17813.39063,4269300
11/30/2015,17847.63086,6269400
12/7/2015,17265.21094,5772300
12/14/2015,17128.55078,8501000
12/21/2015,17552.16992,3396500
12/28/2015,17425.0293,2830800
1/4/2016,16346.4502,6921500
1/11/2016,15988.08008,7968400
1/18/2016,16093.50977,6272200
1/25/2016,16466.30078,7278700
2/1/2016,16204.96973,6530300
2/8/2016,15973.83984,7205300
2/15/2016,16391.99023,5054000
2/22/2016,16639.9707,4866300
2/29/2016,17006.76953,5337600
3/7/2016,17213.31055,5663500
3/14/2016,17602.30078,7471100
3/21/2016,17515.73047,3482000
3/28/2016,17792.75,4434400
4/4/2016,17576.96094,4699800
4/11/2016,17897.46094,4825000
4/18/2016,18003.75,5162600
4/25/2016,17773.64063,5230200
5/2/2016,17740.63086,4337300
5/9/2016,17535.32031,4239700
5/16/2016,17500.93945,4783400
5/23/2016,17873.2207,3955800
5/30/2016,17807.06055,3837500
6/6/2016,17865.33984,3821100
6/13/2016,17675.16016,6301900
6/20/2016,17400.75,6110200
6/27/2016,17949.36914,5725000
7/4/2016,18146.74023,3716800
7/11/2016,18516.55078,4627100
7/18/2016,18570.84961,4291200
7/25/2016,18432.24023,4708500
8/1/2016,18543.5293,4086200
8/8/2016,18576.4707,3277300
8/15/2016,18552.57031,3648300
8/22/2016,18395.40039,3629200
8/29/2016,18491.96094,3807800
9/5/2016,18085.44922,3510100
9/12/2016,18123.80078,6875100
9/19/2016,18261.44922,4048300
9/26/2016,18308.15039,5086400
